original,es,emoji,uk,ru,de,it,fr,pt,zh-cn,th,ja,ko,ar,hi,bn,id,ur,vi,tr,fa,rw,ta,
Loudness,Volumen,🔊↕,Гучність,Громкость,Lautstärke,Volume,Sonie,Volume,响度,ความดัง,ラウドネス,음량,كثافة الصوت,उच्चता,শব্দ,Volume,بلندی صدا,Âm lượng,Loudness,بلندی,rw: Loudness,குரல்வழக்கம்,
Settings,Configuración,⚙️,Налаштування,Настройки,Einstellungen,Impostazioni,Paramètres,Configurações,设置,การตั้งค่า,設定,설정,إعدادات,सेटिंग्स,সেটিংস,Pengaturan,ترتيبات,Cài đặt,Einstellungen,تنظیمات,Ibipimo,அமைப்புகள்,
Language,Idioma,🗣️🔤,Мова,Язык,Sprache,Lingua,Langue,Idioma,语言,ภาษา,言語,언어,اللغة,भाषा,ভাষা,Bahasa,زبان,Ngôn ngữ,Sprache,زبان,Ururimi,மொழி,
Main Menu,Menú principal,👑📋,Головне меню,Главное меню,Hauptmenü,Menu principale,Menu principal,Menu principal,主菜单,เมนูหลัก,メインメニュー,메인 메뉴,القائمة الرئيسية,मुख्य मेनू,মুখ্য মেনু,Menu Utama,القائمة الرئيسية,Menu chính,Hauptmenü,منوی اصلی,Urutonde,முக்கிய மெனு,
Dashboard,Tablero,👑📊,Панель,Панель приборов,Armaturenbrett,Dashboard,Tableau de bord,Painel de controle,仪表盘,แดชบอร์ด,ダッシュボード,대시보드,لوحة القيادة,डैशबोर्ड,ড্যাশবোর্ড,Dasbor,داشبورد,Bảng điều khiển,Instrumententafel,داشبورد,Akayamakuru,டாஷ்போர்டு,
Voice Change Guidelines,Guía de cambio de voz,🧑🔊🔀📄,Керівництво зі зміни голосу,Руководство по изменению голоса,Stimmwechselempfehlungen,Linee guida per cambio voce,Guide de changement de voix,Diretrizes de mudança de voz,语音更改指南,แนวทางการเปลี่ยนเสียง,音声変更ガイド,음성 변경 지침,إرشادات تغيير الصوت,वॉइस परिवर्तन दिशानिर्देश,ভয়েস পরিবর্তন নির্দেশিকা,Panduan perubahan suara,راهنمای تغییر صدا,Hướng dẫn thay đổi giọng nói,Stimmwechselrichtlinien,راهنمای تغییر صدا,Inama zo guhindura ijwi,குரல் மாற்ற வழிமுறைகள்,
All Info,Toda la información,🌐ℹ️,Уся інформація,Вся информация,Alle Infos,Tutte le info,Toutes les infos,Todas as informações,所有信息,ข้อมูลทั้งหมด,すべての情報,모든 정보,جميع المعلومات,सारी जानकारी,সমস্ত তথ্য,Semua Info,تمام اطلاعات,Tất cả thông tin,Alle Infos,تمام اطلاعات,Amakuru yose,அனைத்து தகவல்களும்,
Spectrum,Espectro,🏳️‍🌈📊,Спектр,Спектр,Spektrum,Spettro,Spectre,Espectro,频谱,สเปกตรัม,スペクトル,스펙트럼,طيف,स्पेक्ट्रम,স্পেকট্রাম,Spektrum,طیف,Phổ,Spektrum,طیف,Uburyo bw'amajwi,நீக்கச்சீட்டு,
Reading,Lectura,📖,Читання,Чтение,Lesen,Lettura,Lecture,Leitura,阅读,การอ่าน,読書,읽기,قراءة,पठन,পড়া,Membaca,خواندن,Đọc,Lesen,خواندن,Gusoma,வாசிப்பு,
Recordings,Grabaciones,📼🎧,Записи,Записи,Aufnahmen,Registrazioni,Enregistrements,Gravações,录音,การบันทึก,録音,녹음,تسجيلات,रिकॉर्डिंग्स,রেকর্ড,Rekaman,ضبط‌ها,Ghi âm,Aufnahmen,ضبط‌ها,Udukoryozo,பதிவுகள்,
